"filename", "language", "Python", "pip requirements", "Docker", "Ignore", "Markdown", "YAML", "Log", "Shell Script", "Properties", "JSON", "XML", "comment", "blank", "total"
"c:\my-code\online_images_collector\server\yolov5\models\yolo.py", "Python", 267, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 22, 42, 331
"c:\my-code\online_images_collector\server\yolov5\models\yolov5l.yaml", "YAML", 0, 0, 0, 0, 0, 36, 0, 0, 0, 0, 0, 5, 8, 49
"c:\my-code\online_images_collector\server\yolov5\models\yolov5m.yaml", "YAML", 0, 0, 0, 0, 0, 36, 0, 0, 0, 0, 0, 5, 8, 49
"c:\my-code\online_images_collector\server\yolov5\models\yolov5n.yaml", "YAML", 0, 0, 0, 0, 0, 36, 0, 0, 0, 0, 0, 5, 8, 49
"c:\my-code\online_images_collector\server\yolov5\models\yolov5s.yaml", "YAML", 0, 0, 0, 0, 0, 36, 0, 0, 0, 0, 0, 5, 8, 49
"c:\my-code\online_images_collector\server\yolov5\models\yolov5x.yaml", "YAML", 0, 0, 0, 0, 0, 36, 0, 0, 0, 0, 0, 5, 8, 49
"c:\my-code\online_images_collector\server\yolov5\requirements.txt", "pip requirements", 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 6, 38
"c:\my-code\online_images_collector\server\yolov5\setup.cfg", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 33, 0, 0, 5, 8, 46
"c:\my-code\online_images_collector\server\yolov5\test.py", "Python", 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 4, 12
"c:\my-code\online_images_collector\server\yolov5\train.py", "Python", 479, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 87, 78, 644
"c:\my-code\online_images_collector\server\yolov5\tutorial.ipynb", "JSON", 0, 0, 0, 0, 0, 0, 0, 0, 0, 443, 0, 660, 0, 1103
"c:\my-code\online_images_collector\server\yolov5\utils\__init__.py", "Python", 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 9, 37
"c:\my-code\online_images_collector\server\yolov5\utils\activations.py", "Python", 60, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 23, 102
"c:\my-code\online_images_collector\server\yolov5\utils\augmentations.py", "Python", 184, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 39, 55, 278
"c:\my-code\online_images_collector\server\yolov5\utils\autoanchor.py", "Python", 108, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 39, 24, 171
"c:\my-code\online_images_collector\server\yolov5\utils\autobatch.py", "Python", 36, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 12, 59
"c:\my-code\online_images_collector\server\yolov5\utils\aws\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\my-code\online_images_collector\server\yolov5\utils\aws\mime.sh", "Shell Script", 0, 0, 0, 0, 0, 0, 0, 15, 0, 0, 0, 6, 6, 27
"c:\my-code\online_images_collector\server\yolov5\utils\aws\resume.py", "Python", 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 9, 41
"c:\my-code\online_images_collector\server\yolov5\utils\aws\userdata.sh", "Shell Script", 0, 0, 0, 0, 0, 0, 0, 20, 0, 0, 0, 6, 2, 28
"c:\my-code\online_images_collector\server\yolov5\utils\benchmarks.py", "Python", 63, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 28, 14, 105
"c:\my-code\online_images_collector\server\yolov5\utils\callbacks.py", "Python", 37, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 30, 12, 79
"c:\my-code\online_images_collector\server\yolov5\utils\datasets.py", "Python", 769, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 122, 148, 1039
"c:\my-code\online_images_collector\server\yolov5\utils\downloads.py", "Python", 89, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 43, 22, 154
"c:\my-code\online_images_collector\server\yolov5\utils\flask_rest_api\README.md", "Markdown", 0, 0, 0, 0, 61, 0, 0, 0, 0, 0, 0, 0, 13, 74
"c:\my-code\online_images_collector\server\yolov5\utils\flask_rest_api\example_request.py", "Python", 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6, 14
"c:\my-code\online_images_collector\server\yolov5\utils\flask_rest_api\restapi.py", "Python", 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 12, 38
"c:\my-code\online_images_collector\server\yolov5\utils\general.py", "Python", 638, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 110, 185, 933
"c:\my-code\online_images_collector\server\yolov5\utils\google_app_engine\Dockerfile", "Docker", 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 10, 7, 26
"c:\my-code\online_images_collector\server\yolov5\utils\google_app_engine\app.yaml", "YAML", 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 4, 15
"c:\my-code\online_images_collector\server\yolov5\utils\loggers\__init__.py", "Python", 124, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 25, 168
"c:\my-code\online_images_collector\server\yolov5\utils\loggers\wandb\README.md", "Markdown", 0, 0, 0, 0, 111, 0, 0, 0, 0, 0, 0, 0, 42, 153
"c:\my-code\online_images_collector\server\yolov5\utils\loggers\wandb\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\my-code\online_images_collector\server\yolov5\utils\loggers\wandb\log_dataset.py", "Python", 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 28
"c:\my-code\online_images_collector\server\yolov5\utils\loggers\wandb\sweep.py", "Python", 29, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 10, 42
"c:\my-code\online_images_collector\server\yolov5\utils\loggers\wandb\sweep.yaml", "YAML", 0, 0, 0, 0, 0, 124, 0, 0, 0, 0, 0, 16, 4, 144
"c:\my-code\online_images_collector\server\yolov5\utils\loggers\wandb\wandb_utils.py", "Python", 364, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 145, 54, 563
"c:\my-code\online_images_collector\server\yolov5\utils\loss.py", "Python", 154, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 32, 43, 229
"c:\my-code\online_images_collector\server\yolov5\utils\metrics.py", "Python", 204, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 76, 63, 343
"c:\my-code\online_images_collector\server\yolov5\utils\plots.py", "Python", 363, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 47, 67, 477
"c:\my-code\online_images_collector\server\yolov5\utils\torch_utils.py", "Python", 220, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 38, 55, 313
"c:\my-code\online_images_collector\server\yolov5\val.py", "Python", 283, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 53, 46, 382
"c:\my-code\online_images_collector\server\yolov5s.pt", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 99026, 0, 514, 99540
"Total", "-", 6497, 167, 25, 124, 496, 1940, 3593, 63, 33, 443, 99026, 2602, 2642, 117651
